isodate,hospitalizados
2023-01-30,567
2023-01-31,541
2023-02-01,497
2023-02-02,449
2023-02-03,471
2023-02-04,421
2023-02-05,425
2023-02-06,429
2023-02-07,447
2023-02-08,428
2023-02-09,426
2023-02-10,433
2023-02-11,418
2023-02-12,437
2023-02-13,445
2023-02-14,442
2023-02-15,431
2023-02-16,438
2023-02-17,441
2023-02-18,384
2023-02-19,437
2023-02-20,442
2023-02-21,443
2023-02-22,453
2023-02-23,434
2023-02-24,428
2023-02-25,431
2023-02-26,442
2023-02-27,451
2023-02-28,429
2023-03-01,410
2023-03-02,419
2023-03-03,430
2023-03-04,398
2023-03-05,411
2023-03-06,367
2023-03-07,381
2023-03-08,386
2023-03-09,373
2023-03-10,385
2023-03-11,356
2023-03-12,387
2023-03-13,402
2023-03-14,401
2023-03-15,423
2023-03-16,420
2023-03-17,421
2023-03-18,375
2023-03-19,397
2023-03-20,383
2023-03-21,389
2023-03-22,400
2023-03-23,395
2023-03-24,396
2023-03-25,372
2023-03-26,371
2023-03-27,386
2023-03-28,394
2023-03-29,387
2023-03-30,352
2023-03-31,377
2023-04-01,346
2023-04-02,312
2023-04-03,342
2023-04-04,359
2023-04-05,328
2023-04-06,311
2023-04-07,306
2023-04-08,266
2023-04-09,284
2023-04-10,295
2023-04-11,285
2023-04-12,295
2023-04-13,315
2023-04-14,320
2023-04-15,290
2023-04-16,263
2023-04-17,269
2023-04-18,277
2023-04-19,266
2023-04-20,276
2023-04-21,255
2023-04-22,206
2023-04-23,198
2023-04-24,230
2023-04-25,233
2023-04-26,221
2023-04-27,228
2023-04-28,211
2023-04-29,202
2023-04-30,196
2023-05-01,192
2023-05-02,215
2023-05-03,201
2023-05-04,210
2023-05-05,192
2023-05-07,0
2023-05-08,218
2023-05-09,203
2023-05-10,210
2023-05-11,202
2023-05-12,198
2023-05-13,189
2023-05-14,189
2023-05-15,191
2023-05-16,164
2023-05-17,183
2023-05-18,146
2023-05-19,179
2023-05-20,169
2023-05-21,147
2023-05-22,151
2023-05-23,157
2023-05-24,169
2023-05-25,180
2023-05-26,169
2023-05-27,144
2023-05-28,130
2023-05-29,170
2023-05-30,158
2023-05-31,151
2023-06-01,157
2023-06-02,146
2023-06-03,115
2023-06-04,104
2023-06-05,138
2023-06-06,121
2023-06-07,124
2023-06-08,124
2023-06-09,118
2023-06-10,89
2023-06-11,92
2023-06-12,117
2023-06-13,117
2023-06-14,120
2023-06-15,127
2023-06-16,132
2023-06-17,118
2023-06-18,112
2023-06-19,110
2023-06-20,103
2023-06-21,100
2023-06-22,93
2023-06-23,90
2023-06-24,76
2023-06-25,92
2023-06-26,106
2023-06-27,103
2023-06-28,91
2023-06-29,107
2023-06-30,82
2023-07-01,77
2023-07-02,77
2023-07-03,86
2023-07-04,98
2023-07-05,93
2023-07-06,96
2023-07-07,94
2023-07-08,83
2023-07-09,80
2023-07-10,95
2023-07-11,96
2023-07-12,104
2023-07-13,96
2023-07-14,89
2023-07-15,72
2023-07-16,84
2023-07-17,109
2023-07-18,103
2023-07-19,115
2023-07-20,111
2023-07-21,118
2023-07-22,96
2023-07-23,97
2023-07-24,117
2023-07-25,113
2023-07-26,109
2023-07-27,98
2023-07-28,0
2023-07-29,98
2023-07-30,98
2023-07-31,106
2023-08-01,116
2023-08-02,114
2023-08-03,77
2023-08-04,130
2023-08-05,108
2023-08-06,110
2023-08-07,126
2023-08-08,128
2023-08-09,129
2023-08-10,132
2023-08-11,144
2023-08-12,128
2023-08-13,121
2023-08-14,126
2023-08-15,130
2023-08-16,122
2023-08-17,127
2023-08-18,122
2023-08-19,116
2023-08-20,108
2023-08-21,148
2023-08-22,145
2023-08-23,139
2023-08-24,149
2023-08-25,136
2023-08-26,138
2023-08-27,128
2023-08-28,159
2023-08-29,147
2023-08-30,149
2023-08-31,151
2023-09-01,131
2023-09-02,133
2023-09-03,143
2023-09-04,165
2023-09-05,158
2023-09-06,152
2023-09-07,144
2023-09-08,138
2023-09-09,112
2023-09-10,112
2023-09-11,172
2023-09-12,163
2023-09-13,148
2023-09-14,151
2023-09-15,147
2023-09-16,132
2023-09-17,143
2023-09-18,161
2023-09-19,137
2023-09-20,147
2023-09-21,136
2023-09-22,156
2023-09-23,132
2023-09-24,132
2023-09-25,160
2023-09-26,164
2023-09-27,165
2023-09-28,159
2023-09-29,153
2023-09-30,135
2023-10-01,130
2023-10-02,146
2023-10-03,140
2023-10-04,136
2023-10-05,136
2023-10-06,128
2023-10-07,120
2023-10-08,105
2023-10-09,135
2023-10-10,137
2023-10-11,147
2023-10-12,144
2023-10-13,136
2023-10-14,124
2023-10-15,127
2023-10-16,127
2023-10-17,130
2023-10-18,128
2023-10-19,85
2023-10-20,104
2023-10-21,86
2023-10-23,93
2023-10-24,45
2023-10-25,111
2023-10-26,46
2023-10-27,109
2023-10-28,103
2023-10-29,105
2023-10-30,132
2023-10-31,133
2023-11-01,127
2023-11-02,139
2023-11-03,133
2023-11-04,118
2023-11-05,134
2023-11-06,150
2023-11-07,137
2023-11-08,123
2023-11-09,114
2023-11-10,134
2023-11-11,140
2023-11-12,140
2023-11-13,111
2023-11-14,127
2023-11-15,123
2023-11-16,127
2023-11-17,133
2023-11-18,127
2023-11-19,114
2023-11-20,130
2023-11-21,133
2023-11-22,140
2023-11-23,133
2023-11-24,135
2023-11-25,131
2023-11-26,135
2023-11-27,126
2023-11-28,128
2023-11-29,129
2023-11-30,126
2023-12-01,132
2023-12-02,122
2023-12-03,117
2023-12-04,121
2023-12-05,130
2023-12-06,126
2023-12-07,139
2023-12-08,140
2023-12-09,129
2023-12-10,106
2023-12-11,149
2023-12-12,141
2023-12-13,146
2023-12-14,147
2023-12-15,139
2023-12-16,132
2023-12-17,125
2023-12-18,139
2023-12-19,154
2023-12-20,140
2023-12-21,145
2023-12-22,146
2023-12-23,138
2023-12-24,127
2023-12-25,127
2023-12-26,157
2023-12-27,174
2023-12-28,189
2023-12-29,171
2023-12-30,151
2023-12-31,164
2024-01-01,161
2024-01-02,160
2024-01-03,171
2024-01-04,206
2024-01-05,219
2024-01-06,208
2024-01-07,205
2024-01-08,225
2024-01-09,249
2024-01-10,228
2024-01-11,221
2024-01-12,194
2024-01-13,204
2024-01-14,188
2024-01-15,204
2024-01-16,205
2024-01-17,220
2024-01-18,179
2024-01-19,187
2024-01-20,192
2024-01-21,188
2024-01-22,221
2024-01-23,224
2024-01-24,225
2024-01-25,231
2024-01-26,235
2024-01-27,204
2024-01-28,196
2024-01-29,215
2024-01-30,201
2024-01-31,188
2024-02-01,182
2024-02-02,197
2024-02-03,171
2024-02-04,184
2024-02-05,197
2024-02-06,214
2024-02-07,210
2024-02-08,194
2024-02-09,192
2024-02-10,175
2024-02-11,175
2024-02-12,185
2024-02-13,188
2024-02-14,215
2024-02-15,227
2024-02-16,223
2024-02-17,197
2024-02-18,213
2024-02-19,229
2024-02-20,238
